,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
1,[  0.8148148 659.7037   ],[  3.1573033 660.8764   ],,,,,,,,,,,,,[  0.8235294 660.2941   ],[  1.92 659.92],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[391.0702   46.19298],[390.0306    51.688774],,,,,,,[399.21622  67.26126],[397.5625   66.65179],[398.35645  69.80198],[406.9802    68.207924],[402.95  69.2 ],[401.96332   68.495415],[391.6077   74.35384],[395.8496    72.646614],[390.46512  78.89922],,[403.40518   73.465515],[408.15152  73.44444],[407.5       84.931816],[404.89624   74.462265],,[411.1894    86.333336],[417.61667  85.375  ],[414.936  78.176],[413.02597  78.3961 ],[412.2238   94.79021],[400.84354  85.31293],[397.3672   89.85156],[409.60294  85.625  ],[402.25546   84.948906],[408.401   81.4406],[401.   86.5],[408.8682   78.90455],[397.625     90.681816],[398.08258  86.15596],[396.24545  95.23637],[383.7117   108.810814],[380.33334 102.03704],,,[384.8481   91.46203],[379.0414   86.47929],,[374.02615  86.51634],[365.6402   85.80423],[378.38623   87.862434],[368.49594  83.98374],[368.5339    84.144066],[367.11008  82.73395],[372.45456  83.90909],[365.26315  90.00877],[355.47787  90.90266],[367.2022   94.27701],[360.53705  99.13426],[364.6207   89.44827],[362.1533   96.55474],[369.6857  94.55  ],[363.16418  94.87313],[370.90598  92.55556],[382.33768  87.35065],[373.41025  86.73077],[374.06418  93.97861],[373.24182  93.24837],[375.02994   87.844315],[358.73215  91.46429],[362.1875   88.66071],[369.94666  86.21333],[378.6154   81.05495],[378.69565   72.804344],[376.24176  75.38461],[376.13513  91.01802],[382.5774    81.458336],[373.38022   73.322914],[378.29907  76.52336],[374.75925   80.546295],[376.33646  81.75701],[376.7158   82.71579],[370.2043   78.41936],[369.0248   82.68794],[359.96518  96.12936],[353.98105   94.156395],[346.76746  89.72093],[351.0482   87.85542],[350.27103  89.73832],[349.4737   89.53684],[350.69864  91.65753],[350.37778  93.26667],[350.48236  96.89412],[344.8764   99.19101],[345.90625   98.270836]
3,,[20.18421  37.513157],,,,,,,,,,,,,,,,,[21.331211 31.076433],[26.546154 28.046154],[18.271523 28.18543 ],[29.473684 23.701754],[28.88325  34.568527],[34.125 28.62 ],[41.48305  33.961864],[40.256683 36.786095],[44.326317 40.089474],[49.52486 50.25967],[40.04348 40.91848],[36.278107 43.260357],[52.120804 45.127518],[43.25463  47.550926],[49.76699  47.694176],[64.375885 39.737587],[57.025864 52.922413],[44.60335  43.597767],[42.88     37.537144],[39.733696 42.804348],[45.41011  61.651684],[38.92135 64.93259],,,,,,,,[38.628098 69.27273 ],[32.41129 75.27419],[31.5      74.478874],[26.723577 73.05691 ],[30.963636 73.318184],[34.09694 86.94898],[29.973404 84.01596 ],[27.957747 86.04929 ],[27.412588 87.44056 ],[19.744047 74.61905 ],[18.670807 79.80124 ],[25.740963 78.783134],[21.2     79.93889],[29.790697 77.68023 ],[36.345913 83.8239  ],[28.855421 80.93374 ],[31.839743 75.71795 ],[29.857143 72.87218 ],[29.806723 68.420166],[25.059322 56.88983 ],[33.565216 53.95652 ],[28.803572 54.107143],[37.034683 48.65896 ],[28.528301 35.377357],[25.963636 39.881817],[18.55914 35.16129],[20.010363 34.186527],[22.577587 28.991379],[16.54651  35.511627],[11.634615 37.35096 ],[15.424731 38.908604],[17.74269 36.97661],[10.987804 33.969513],[ 7.4903226 36.251614 ],[12.462026 37.879745],[25.888298 48.77128 ],[29.817259 48.878174],[36.88387  47.812904],[46.961166 39.349514],[35.24026 48.57143],[36.91617  48.413174],[37.74843  48.339622],[39.205883 50.964706],[34.044304 50.088608],[36.39521  45.886227]
4,,[171.22754 462.7485 ],,,,,,,,,,,,,,,,,,,,,,,[185.83076 457.45386],[182.18292 454.20123],[181.09468 455.97043],[185.5875 464.775 ],[178.69101 453.57303],[177.47954 459.64328],[193.24419 456.49417],[194.84021 443.7268 ],[187.68715 455.32404],[193.9171  472.62695],[182.20787 455.36517],[183.85947 460.9946 ],[181.7968  456.85562],[182.57292 459.58853],[196.74432 465.0341 ],[191.59184 467.56464],,,,,,,,[187.15  455.925],[175.42445 457.8777 ],[173.97562 458.30893],[174.48091 455.89313],[177.1875  457.36804],[168.57867 448.82233],[150.25374 439.47015],[143.3931  439.49655],[139.51079 437.4892 ],[144.74126 440.3986 ],[151.44041 420.03625],[168.80556 424.9111 ],[161.81522 424.19565],[168.13684 420.1842 ],[173.8866  424.13916],[172.17 435.73],[170.02538 422.79697],[167.30286 423.86856],[167.71523 420.1457 ],[162.30128 428.53204],[157.38823 418.2706 ],[151.99422 416.80347],[150.28505 413.17758],[155.5     414.26163],[152.89507 418.5432 ],[163.46875 420.     ],[173.77576 419.41818],[161.88199 410.96893],[167.23729 421.30508],[165.74713 424.5115 ],[166.56 424.04],[166.98245 424.0351 ],[161.11494 423.58047],[144.8626 425.4122],[149.75572 428.3893 ],[142.4378  414.69153],[152.44254 398.78735],[157.09639 397.54218],[156.33527 398.1156 ],[154.25731 398.9883 ],[154.52356 400.67017],[154.39766 400.90057],[156.8353  403.25293],[153.1421 402.2158],[156.3125  397.69272]
5,,,[138.50589 459.87057],[147.22223 465.68518],[151.99411 464.     ],,[146.84525 461.8988 ],[153.35976 466.34146],[152.68073 465.83734],[150.02072 470.8653 ],[148.02689 477.043  ],[153.15958 467.84042],[144.90375 460.87164],[147.50299 456.16766],[143.79474 461.5    ],[144.8342  457.98962],[140.625  465.5625],,[152.35135 453.31982],[154.01895 455.7346 ],[142.04185 458.21396],[148.86995 453.861  ],[144.71428 460.93506],[147.56276 449.91904],[152.70125 448.805  ],[154.11505 444.677  ],[157.4313  444.94275],[157.6693  455.75986],[146.86433 446.30234],[144.77118 451.4661 ],,[149.89954 446.5023 ],[159.19456 443.73755],[151.63792 429.     ],[155.11484 440.95215],[156.76382 445.60303],[156.75879 436.0955 ],[156.25981 440.75   ],[154.30818 422.5283 ],[147.57484 412.0539 ],[157.72382 412.54285],[151.69904 411.4369 ],[141.37038 409.98148],[150.43802 409.08264],[151.52206 411.35294],[146.97794 412.32352],[139.96527 406.9861 ],[154.40909 408.04544],[147.0493  407.57745],[147.12791 406.51163],[146.81609 404.3046 ],[149.36842 402.71054],[143.32259 406.7903 ],[145.09677 404.5914 ],[142.25568 404.8125 ],[140.16484 402.12088],[146.88649 403.35135],[135.42616 389.41772],[143.35043 383.45728],[151.65169 378.52808],[160.0582  374.31747],[152.42387 379.26337],[152.935 391.78 ],[148.04292 375.8455 ],[146.17972 377.58066],[159.92143 374.47144],[153.70248 381.35538],[159.61029 381.39706],[153.4104  382.77457],[140.44724 381.70352],[132.64 383.25],[132.2255  388.10785],[124.40865 382.37982],[135.34525 385.5    ],[125.28333 378.25   ],[118.53153 379.94595],[117.80909 381.68182],[114.54955 369.25226],[121.51376 366.87155],[115.92969 374.90625],[112.604164 365.0729  ],[119.65385 366.59232],[114.68702 365.4275 ],[120.04478 365.4179 ],[123.70629 364.91608],[129.65831 365.69592],,,,,,
6,,,[187.96196 437.96738],[187.94 440.8 ],[193.60638 438.9149 ],,[188.38202 436.58987],[189.43114 441.88025],[190.59172 438.33136],[191.21951 439.36584],[192.9901 444.401 ],[200.825 438.69 ],[196.39378 435.84457],[194.94148 437.     ],[186.78723 441.10107],[190.07007 442.89172],[187.27748 448.08902],[192.88144 464.88144],[195.82323 438.66666],[200.4974 438.6943],[189.40332 443.663  ],[197.97803 440.1758 ],[193.15306 450.19388],[192.14827 442.15143],[196.632 442.136],[195.46614 438.07568],[197.63235 440.69608],[200.15898 451.15384],[191.40761 441.55978],[191.9435 445.8305],[175.37254 442.68628],[166.14912 441.9035 ],[175.54903 438.30392],,[171.757   436.99066],[173.39496 442.2521 ],[171.17073 436.43903],[170.24603 440.48413],[163.22168 455.78326],[156.48012 438.86365],[177.73077 431.56152],[163.30103 427.17346],[154.91878 424.42133],[161.89674 423.39673],[160.71823 416.65747],[158.81538 429.22052],[153.35956 423.0056 ],[166.71823 424.7348 ],[158.0879  427.16483],[159.67513 429.41623],[159.76382 427.3166 ],[166.91919 428.07574],[158.61581 433.45197],[152.14772 419.60226],[149.09659 417.07956],[154.4796 426.2908],[163.41396 427.9628 ],[162.09547 428.6784 ],[157.46088 445.68695],[150.79465 442.5625 ],[157.33333 437.15833],[161.88333 441.65   ],[154.87878 442.3106 ],[159.60909 443.64545],[158.175 443.45 ],[159.14285 441.48215],[167.76636 440.76636],[177.25197 435.55905],[171.94681 435.14893],[163.      434.72263],[182.10448 436.35074],[176.9214 434.9476],[165.92613 439.11932],[158.47586 428.53793],[147.01733 434.65317],[151.22876 428.817  ],[150.17334 430.27335],[151.29677 428.83224],[152.62439 428.49756],[147.40187 429.32712],[142.96117 436.59222],[145.88074 438.22937],[141.04347 436.9826 ],[145.60527 437.1579 ],[152.73914 436.26956],[149.42276 435.14633],[146.52713 434.72867],[146.18852 435.14755],[147.73505 434.47864],[149.68939 437.91666],[133.75203 429.4065 ],[138.58035 409.85715]
7,,,[361.2857    52.709522],[354.1374   55.46565],[362.8783   55.21693],[368.87766  77.62234],,,,[373.08197   71.803276],,[382.75772  70.5    ],[377.34976   71.632286],[372.8158   72.04386],[365.03787  77.02273],[367.6154    77.986015],[364.71155  91.41346],[371.82285 114.83465],[371.58084  92.00599],[374.9695   94.06707],[365.89908  96.19266],[375.2745    95.411766],[381.79364   98.666664],[380.14285  90.79592],[368.0357   94.73214],[362.58517  92.44444],[359.94244  93.29497],[361.376 105.72 ],[352.06503   99.308945],[349.16934 104.3629 ],[362.05127  98.04273],[353.22223   94.638885],[357.91965  91.8125 ],[360.78     87.86667],[353.89917  92.30252],[356.75      99.708336],[356.832  92.96 ],[353.3955   100.216415],[342.61462  95.28293],[358.3759  107.78014],[366.57764  91.85093],[381.09656  87.76552],[376.29413  84.89412],,[378.12976  74.79389],[362.4495    63.742424],[356.12622  59.64563],[358.37143   59.590477],[360.89618   60.508198],[366.00867   59.883118],[375.8889    74.349205],[366.94238  61.51029],[359.7056    62.425232],[360.0234   55.25146],[359.8768    53.391304],[358.        58.799213],[363.57755  57.42246],[352.47778  57.58889],[352.9099    45.855854],[349.32175  45.12174],[355.16495   42.592785],[353.0476   48.88095],[340.1146   49.09375],[343.       50.81915],[340.7143    50.409523],[343.21512  41.88372],[339.76828  46.07317],[343.90845   45.605633],[346.04855   48.699028],,[348.74658  43.90411],[340.10834   48.229168],[331.60178  54.62832],[326.67123  43.50685],[331.7143    38.028572],[325.6813    41.285713],[322.97754   42.730335],[325.5263    42.957893],[328.52127   43.457447],[321.46533   42.881187],[320.5124    52.652893],[316.27618   58.466667],[313.5366   53.73171],[316.21817  50.47273],[314.89774  40.80682],[301.87097  35.70968],[298.9189   36.39189],[299.36365  37.81818],[302.  34.],[305.97778   34.877777],[301.67902   36.419754],[302.56732  33.21154]
8,,,[469.55988 486.46707],,[476.1656 488.8463],,,[468.80234 488.21744],[470.41354 491.18002],[470.41742 495.10492],,,,,,[467.99258 496.8494 ],,,[476.9368  495.66193],[477.6039 488.7316],[469.14966 487.25696],[477.48935 494.8032 ],,[473.6924 494.    ],[475.7975 496.1691],[471.48923 484.44077],[472.22067 492.84915],[478.56277 501.96863],[466.97754 492.27808],[470.19247 499.53522],[482.66806 494.6556 ],,[478.07095 494.96774],,[472.10715 496.3274 ],,,[465.9211  501.79388],[468.89883 505.54117],[464.8253 501.6819],,[468.43228 498.91666],,[471.0511  495.37225],[470.87656 488.0926 ],[462.04312 490.1725 ],[460.74225 495.1432 ],[479.51172 495.4336 ],[469.2393  496.41785],[469.27658 497.27658],[471.19366 495.70795],[477.6933 497.9968],[468.44263 503.36887],,,,[462.50293 494.14307],[461.64297 495.7674 ],[465.21347 499.87704],[453.7212  498.64798],[462.15662 489.87006],[476.5174  491.60376],[478.89346 495.31958],,[468.8825 492.0761],[468.2284  489.02344],,[477.82916 487.01578],[471.92676 482.67413],,[474.3724 477.3346],[471.70834 481.21875],,[481.58704 476.75256],[470.6744  468.54846],[475.01935 475.44516],[474.1061  477.38376],[474.53647 478.73605],[479.87784 475.94202],[473.6132  474.13187],[470.54263 475.62994],[475.4119 476.1571],[463.15863 479.11725],[474.19354 475.65323],[473.6864  476.56805],[476.8909  474.20456],,[475.8125  476.92773],[474.9394 481.0808],[478.4387  489.50238],[474.00226 477.61124],[473.3201  487.44104]
9,,,,[ 0.  27.5],[ 3.03 23.7 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 0.  28.5],,,,[ 3.8039215 35.35294  ],[12.24138  34.646553],[10.730434 25.66087 ],[19.242188 41.9375  ],[27.127659 41.79787 ],[33.54054  26.513514],[25.85821  29.955223],[27.302631 32.375   ],[29.598085 16.61244 ],[36.383495 17.56796 ],[36.409637 19.650602],[37.91398 16.39785],[36.916668 16.052084],[35.957893 14.357895],[42.31183  14.763441],[39.908047 13.896552],[39.252747 18.494505],[46.699455   6.0491805],[54.99187    3.1544716],[61.95977    5.4827585],[53.088543   4.6614585],[49.21875   2.296875],[44.910713   2.0535715],[42.695652   0.8695652],[47.849056   1.6792452],[49.365593  9.193548],[43.65   7.075],[38.589043 10.719178],[46.244682  7.617021],[37.28022  19.505495],[40.67857  14.080358],[56.227272   7.6545453],[48.181103 14.125984],[55.875    23.664062],[50.881187 14.990099],[38.227978 19.398964],[41.94872  18.066668],[49.14407  11.516949],[46.635593 13.601695],[50.18033  17.245901],[44.362743 16.931372],[48.39216  17.431372],[51.55963  17.119267],[51.394497 16.284403],[49.34694 20.87755],[49.878506 21.560747],[51.44578  18.421686],[54.945053 20.89011 ],[48.703705 20.851852],[50.32558  17.872093]
10,,,,,[  7.442177 567.67346 ],,[  6.076923 560.3136  ],[  7.221519 563.2342  ],[  5.734266 561.007   ],[  5.273381 565.8201  ],[  6.525974 570.1169  ],[ 13.248555 564.09247 ],[  5.3869047 562.7262   ],[ 10.384 562.84 ],[  5.3353295 564.67664  ],[  5.9602275 562.1818   ],[  2.8333333 572.85297  ],,[  5.089286 574.1667  ],[ 11.206573 573.24414 ],[  3.2368422 573.5439   ],[ 10.217617 570.16583 ],[  5.7417583 578.7912   ],[  5.268293 569.79877 ],[  6.1419353 570.8581   ],[  3.7659574 565.78723  ],[  5.328 566.848],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
