,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
1,[308.37314 182.85075],[306.67682 182.56097],[314.675  181.0125],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[311.73404 175.24467],,[318.9187  172.68292],,[317.9415  172.15425],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,[320.25757 201.25757],,,,,,,,,,,,,,[326.773   201.86504],[312.50607 202.27126],[307.90625 202.98125],,,[323.35773 207.60162],,,,,,,,,,,,,,,,[315.6889  212.11111],,,[310.16876 207.9625 ],[320.32718 201.39171],[316.63257 212.11163],[305.31125 208.47682],[322.68362 209.34464],[309.99384 213.66667],[309.36026 208.06833],[296.01865 194.57764],[301.79193 196.69798],[297.3022  200.95604],[295.1546  200.99516],[291.46634 200.95673],,,,,[298.7396  204.16145],[314.72662 197.08633],[327.48236 204.14117],[321.09573 206.07979],[317.80124 208.38509],[327.05518 209.22758],[327.94193 204.83226],[319.83734 213.27109],[330.63217 215.09195],[323.74545 212.12122],,[333.83722 209.98256],[324.2857 214.7347],[318.875   224.45589],[325.09875 208.62962],,[316.42 199.22],[314.76056 204.56339],[312.67096 203.27097],,[311.96643 203.4161 ],[309.414  203.5414],,[303.59375 209.59895],[304.52106 208.21579],[308.94308 212.4309 ],[308.4882  213.73228],[310.53235 211.82587],,,,[296.46155 210.74556],[302.25516 205.57932]
4,,,,[325.211   195.11926],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[319.26416 192.4151 ],,[319.08066 190.83871],,,[311.71234 194.02055]
5,,,,,[378.5 703. ],,,,,,,,,,,,[386.55554 701.0635 ],[389.22223 701.8611 ],[379.08334 702.2917 ],[385.06668 700.56   ],,[385.8614 699.9505],[392.36365 702.7273 ],,,,,,[388.0548  700.58905],,[378.12195 701.7317 ],,[370.94446 701.4074 ],,,,,[381.5 703. ],,,,,,,,,,,,,,,,,,,,,,,,,,[384.5 703. ],,,,,,,,[384.5    699.8723],[375.03845 693.9308 ],[382.61856 699.41235],[377.87878 701.7879 ],[378.05554 702.3889 ],[384.56668 700.95   ],[379.5    702.2727],,,,[378.55554 702.8889 ],[383.66666 702.0333 ],[386.75   701.3542],[387.14755 700.8197 ],[386.     701.4878],[388.89584 701.2083 ],,[386.62222 701.42224],[385.91177 700.66174]
6,,,,,,[301.77856 195.15   ],[308.41537 203.     ],[303.08694 203.43478],[306.29092 211.51515],[309.35974 200.7683 ],[297.0115  195.52873],[300.96317 199.12631],[296.16766 196.38324],[299.73248 205.98726],[305.6479  220.20422],[320.2157  239.28432],,,,,,,,,,,,[306.5026  220.98964],[319.50244 217.41951],[302.3155 208.7619],[309.64038 207.51231],,[305.28656 211.62573],[309.51035 214.14482],[308.35556 207.9037 ],[303.27585 219.26207],,[306.96313 237.26729],[319.1888  220.66434],[308.94144 221.10811],[292.44    214.25143],,,,,,,,,,,,,[293.64417 204.72392],[307.00748 206.70149],[306.6087  211.42236],[307.83957 207.71123],,,,,,,,,,,,,,,,[309.94162 194.06569],,,,[314.37424 207.17792],,,[312.2487  206.48148],,,[309.875  203.6625],[308.62222 204.82222],,[310.19864 206.70547],[304.20834 207.03473],[303.83817 209.44508],,
7,,,,,,,,,,,,[486.77194 655.4386 ],[483.38806 657.2239 ],[484.8521 653.1901],[481.27658 659.80853],[484.73425 675.986  ],[484.1605 654.1543],[488.817  658.4706],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,[511.6241 627.6312],,[508.77237 626.7317 ],,,[512.0744 634.281 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,[ 84.4079  391.42105],,[ 92.14141 380.32324],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,[ 85.4  407.53],,,,,,,,,,,,,,,,[ 94.760414 400.33853 ],,[ 83.327866 390.7869  ],[ 80.05085 391.46893],[ 79.21591 398.24432],[ 84.37059 415.94705],[ 79.614525 406.0503  ],,,,[ 80.69863 392.26712],[ 82.781456 382.89404 ],[ 82.841774 393.07596 ],[ 76.7625  389.49374],[ 86.95302 391.6577 ],[ 78.83125 393.45624],[ 80.55921 394.38815],[ 76.57718 392.97986],[ 84.155846 393.18832 ],[ 78.96685 396.48065],[ 80.09581 393.04193],[ 74.64497 394.14792],[ 73.06626 392.7711 ],[ 80.09357 394.1462 ],[ 79.12575 395.25748],[ 86.72    391.99335],[ 78.78846 389.92947],[ 86.2    385.9355],[ 92.70068 390.19727],[ 82.888885 388.3464  ],[ 86.322365 389.4342  ],[ 84.77931 389.50345],[ 85.09677 386.9613 ],[ 79.05807 395.71613],[ 85.878204 392.28845 ],[ 81.5125 390.    ],,[ 85.80132 389.43045],[ 82.6375  392.19376],[ 83.550896 406.65268 ],[ 90.32336 385.82635],[ 79.474686 378.51898 ],[ 86.39597 387.1745 ],[ 85.48026 389.98026],[ 87.28571 390.54422],[ 91.72436 388.42947],[ 85.697365 386.69736 ],[ 82.72667 388.13333],[ 87.     388.6842],[ 81.65    387.16876],[ 86.052635 387.79605 ],[ 90.521736 386.54657 ],[ 89.27702 387.25674],[ 87.84967 386.48367],[ 88.129036 388.73547 ],[ 88.13548 388.2    ],[ 91.36    389.44666],[ 86.47059 388.3072 ],[ 89.198715 385.41025 ]
