,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
1,[67.       10.035365  8.58269 ],[164.        18.815426  11.516921],[80.       11.079585  9.216848],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[94.       12.490845  9.702808],,[123.        14.37079   11.011904],,[188.        18.63071   13.370077],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,[66.       10.277756  8.202133],,,,,,,,,,,,,,[163.        14.671162  14.236715],[247.        18.642572  16.984552],[160.        16.024237  12.801468],,,[123.        15.41937   10.175585],,,,,,,,,,,,,,,,[90.       13.276366  8.81115 ],,,[160.        14.80924   13.816956],[217.        20.992647  13.398121],[215.        20.308403  13.621456],[151.        14.574567  13.203832],[177.        17.018867  13.311045],[162.        16.46296   12.574027],[161.        15.255514  13.469086],[161.        17.187187  12.102122],[149.        16.680782  11.421259],[182.         17.605917   13.2735815],[207.        20.928507  12.762846],[208.        20.765495  13.040467],,,,,[192.        18.430645  13.399969],[139.        14.247197  12.461921],[170.        15.693298  13.891471],[188.        16.799353  14.528082],[161.        17.339409  11.830781],[145.        14.203997  13.122896],[155.        14.867857  13.327298],[166.        16.333662  12.940937],[174.        15.546125  14.244811],[165.        15.555582  13.564681],,[172.        16.521692  13.280521],[147.        14.820458  12.822835],[136.        14.091636  12.313214],[162.         15.6792755  13.225754 ],,[150.        14.561933  13.15472 ],[142.        14.306347  12.650574],[155.        14.579759  13.568743],,[149.        14.974242  12.729128],[157.        15.384155  13.064168],,[192.        18.66375   13.522839],[190.        20.447126  12.100664],[123.         14.555145   10.8329525],[127.        14.781522  11.181191],[201.        20.048706  13.098753],,,,[169.        17.346176  12.437434],[145.        15.526388  11.987171]
4,,,,[109.        14.105375  10.253093],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[53.       10.423737  6.483709],,[62.        10.255387   7.6948004],,,[146.        16.15007   11.614021]
5,,,,,[2. 2. 0.],,,,,,,,,,,,[63.        14.149729   6.1091814],[36.        11.930471   4.0150533],[24.        10.828182   2.9345493],[75.        13.878279   7.2192793],,[101.        15.690255   8.394007],[11.         8.0519705  1.7699491],,,,,,[73.       13.591096  7.262992],,[41.        12.562861   4.3285203],,[54.       13.887671  5.35946 ],,,,,[6.        6.8313007 0.       ],,,,,,,,,,,,,,,,,,,,,,,,,,[4.       4.472136 0.      ],,,,,,,,[94.       14.36011   8.479944],[130.        13.552612  12.207634],[97.       13.308459  9.425839],[33.        10.411382   4.2618403],[18.         8.892861   2.7086482],[60.       12.729716  6.3227  ],[22.         9.704732   2.9986222],,,,[9.        8.664308  1.2536954],[30.       11.239317  3.485523],[48.        12.077286   5.4282184],[61.        12.45652    6.4196897],[41.       10.998891  5.007074],[48.        11.437988   5.4745803],,[45.       11.694031  5.16209 ],[68.        12.92038    7.1160507]
6,,,,,,[140.        13.912609  12.803257],[130.        13.450765  12.27164 ],[138.        13.302412  13.251808],[165.        15.46068   13.610065],[164.        15.726646  13.390436],[174.        18.00361   12.430662],[190.         18.686455   13.3397875],[167.        17.042513  12.608277],[157.        17.341995  11.535294],[142.        14.391377  12.610548],[102.        13.467225   9.764286],,,,,,,,,,,,[193.        19.5688    12.743915],[205.        19.479012  13.449671],[168.        17.191818  12.457128],[203.        18.118721  14.283031],,[171.        16.29001   13.385594],[145.        14.246744  12.962673],[135.        13.824715  12.470211],[145.        14.177152  13.075991],,[217.        19.073668  14.838238],[143.        15.769478  11.67027 ],[222.        20.089434  14.361855],[175.        18.23474   12.324287],,,,,,,,,,,,,[163.        18.325691  11.37713 ],[134.        15.780985  11.010695],[161.        17.43178   11.845658],[187.        18.149618  13.287863],,,,,,,,,,,,,,,,[137.        13.332516  13.066505],,,,[163.        15.738379  13.27243 ],,,[189.        18.946903  12.768962],,,[80.       11.825996  8.687538],[90.       12.483192  9.331112],,[146.        15.783414  11.845537],[144.        15.684789  11.702151],[173.        21.006353  12.069158],,
7,,,,,,,,,,,,[57.         8.949954   8.1513405],[134.        14.191857  12.011465],[142.        15.169728  11.931446],[141.        15.347005  11.700418],[143.        15.438593  11.796026],[162.        18.666246  11.044816],[153.        17.327505  11.285598],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,[141.        16.37589   11.327013],,[123.        13.61975   11.540016],,,[242.         24.134098   14.7304735],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,[76.       11.739098  8.237286],,[99.       12.393853 10.195897],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,[100.        12.221576  10.425866],,,,,,,,,,,,,,,,[192.        19.359741  12.70295 ],,[183.        18.10594   12.907464],[177.        15.76035   14.308378],[176.         15.743258   14.2953825],[170.        15.849341  13.65511 ],[179.         16.129883   14.1445465],,,,[146.        15.667799  11.895976],[151.        15.619149  12.334159],[158.        15.264057  13.20277 ],[160.        15.033465  13.553295],[149.        15.194508  12.487671],[160.        16.578024  12.28751 ],[152.        15.69601   12.359105],[149.        14.959476  12.747609],[154.        14.770197  13.30568 ],[181.        16.621557  13.912462],[167.        15.869341  13.394558],[169.        15.568539  13.862784],[166.        15.408495  13.738774],[171.        15.795534  13.820329],[167.        15.615909  13.693074],[150.        14.303263  13.343721],[156.        15.902998  12.520411],[155.        15.180476  13.002038],[147.        14.779979  12.722555],[153.        15.37045   12.684627],[152.        15.117359  12.828701],[145.        14.831536  12.489633],[155.        15.684828  12.633012],[155.        16.08824   12.337439],[156.        15.285931  12.99516 ],[160.        15.51626   13.200121],,[151.        15.56033   12.386771],[160.        15.516545  13.146623],[167.        16.576986  12.885439],[167.        16.260336  13.142585],[158.        15.016043  13.479329],[149.        15.370007  12.327271],[152.        15.515582  12.455881],[147.        15.243455  12.333807],[156.        15.361696  12.987371],[152.        15.778062  12.282461],[150.        15.385394  12.419198],[152.        14.837375  13.040177],[160.         15.314429   13.3473835],[152.        15.201941  12.743692],[161.        15.251835  13.520084],[148.        15.127272  12.464728],[153.        15.797446  12.370493],[155.        15.401612  12.849926],[155.        15.614236  12.620925],[150.        15.996649  12.011722],[153.        14.943649  13.036911],[156.        14.987141  13.27652 ]
